清液池电导率区间,清液池PH区间,清液池浓度区间,清液池温度区间,清液池COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[7.76, 8.365]","[5.445, 5.515]","[0.0119, 0.0121]","[23.35, 23.65]","[22862.5, 22972.5]","[4.935, 5.065]",3.0,3.6930946172427728,48,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.585, 5.625]","[0.0119, 0.0121]","[23.35, 23.65]","[22862.5, 22972.5]","[4.935, 5.065]",4.0,2.467943043463446,31,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.515, 5.545]","[0.0119, 0.0121]","[23.65, 24.55]","[22972.5, 23092.5]","[4.935, 5.065]",0.0,3.9559365524674015,49,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.445, 5.515]","[0.0119, 0.0121]","[24.55, 24.75]","[23092.5, 23882.5]","[4.935, 5.065]",3.0,2.589714569516973,32,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[6.995, 7.525]","[5.765, 5.95]","[0.0122, 0.0125]","[23.65, 24.55]","[22862.5, 22972.5]","[4.935, 5.065]",3.0,1.3008877997370574,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.765, 5.95]","[0.0122, 0.0125]","[22.1, 23.35]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,0.5726518306661855,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.765, 5.95]","[0.0122, 0.0125]","[22.1, 23.35]","[23092.5, 23882.5]","[5.065, 6.93]",1.0,5.63751557152715,68,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.765, 5.95]","[0.0122, 0.0125]","[23.65, 24.55]","[22972.5, 23092.5]","[5.065, 6.93]",1.0,2.4396613044023145,29,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[6.995, 7.525]","[5.765, 5.95]","[0.0122, 0.0125]","[23.65, 24.55]","[22862.5, 22972.5]","[5.065, 6.93]",3.0,3.1121748140349594,36,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.76, 8.365]","[5.765, 5.95]","[0.0122, 0.0125]","[23.35, 23.65]","[22972.5, 23092.5]","[5.065, 6.93]",2.0,2.5813771893175845,28,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[6.995, 7.525]","[5.765, 5.95]","[0.0122, 0.0125]","[23.35, 23.65]","[22972.5, 23092.5]","[5.065, 6.93]",5.0,3.1007741416182393,33,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[6.995, 7.525]","[5.765, 5.95]","[0.0125, 0.0126]","[23.65, 24.55]","[23092.5, 23882.5]","[4.29, 4.935]",4.999999999999999,7.271059232138347,77,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1011,0.05341246290801187,0.07684357690853662
"[7.525, 7.76]","[5.32, 5.445]","[0.0122, 0.0125]","[25.15, 29.9]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.6300317541002376,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.32, 5.445]","[0.0122, 0.0125]","[22.1, 23.35]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,0.9446447938731043,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.32, 5.445]","[0.0125, 0.0126]","[22.1, 23.35]","[23092.5, 23882.5]","[4.29, 4.935]",2.0,4.98778984422208,62,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.32, 5.445]","[0.0125, 0.0126]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.2326879015637944,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.445, 5.515]","[0.0122, 0.0125]","[22.1, 23.35]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,0.9902606742866288,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.32, 5.445]","[0.0125, 0.0126]","[23.65, 24.55]","[23092.5, 23882.5]","[4.29, 4.935]",3.0,2.6080206152310184,31,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.32, 5.445]","[0.0122, 0.0125]","[23.35, 23.65]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.0203100300951151,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.32, 5.445]","[0.0125, 0.0126]","[23.35, 23.65]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,1.4748122139775586,17,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.525, 7.76]","[5.765, 5.95]","[0.0126, 0.0128]","[23.65, 24.55]","[23092.5, 23882.5]","[5.065, 6.93]",1.0,3.0342581914846,34,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.765, 5.95]","[0.0122, 0.0125]","[25.15, 29.9]","[23882.5, 23985.0]","[5.065, 6.93]",0.0,1.3391797745047818,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.625, 5.705]","[0.0122, 0.0125]","[25.15, 29.9]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,1.6281240256237066,18,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.76, 8.365]","[5.32, 5.445]","[0.0125, 0.0126]","[23.65, 24.55]","[23092.5, 23882.5]","[5.065, 6.93]",2.0,4.080094283783222,45,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.32, 5.445]","[0.0125, 0.0126]","[23.65, 24.55]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,1.4614773725706094,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.32, 5.445]","[0.0125, 0.0126]","[23.65, 24.55]","[23882.5, 23985.0]","[5.065, 6.93]",4.0,3.151826665814155,34,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.705, 5.765]","[0.0125, 0.0126]","[22.1, 23.35]","[23092.5, 23882.5]","[5.065, 6.93]",2.0,3.068322111302084,33,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.705, 5.765]","[0.0122, 0.0125]","[24.75, 25.15]","[23092.5, 23882.5]","[5.065, 6.93]",1.0,2.138599897921295,23,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.705, 5.765]","[0.0122, 0.0125]","[24.55, 24.75]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,0.7447959226714268,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.445, 5.515]","[0.0125, 0.0126]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,1.0251247085807902,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.765, 5.95]","[0.0125, 0.0126]","[24.75, 25.15]","[23882.5, 23985.0]","[5.065, 6.93]",1.0,0.8445355681696155,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.32, 5.445]","[0.0125, 0.0126]","[23.35, 23.65]","[23092.5, 23882.5]","[4.29, 4.935]",4.0,3.476753032137749,37,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.585, 5.625]","[0.0122, 0.0125]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.5061908199466423,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.705, 5.765]","[0.0122, 0.0125]","[24.55, 24.75]","[23092.5, 23882.5]","[5.065, 6.93]",3.0,1.5071476273727504,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.515, 5.545]","[0.0122, 0.0125]","[24.55, 24.75]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.036285296043574,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.76, 8.365]","[5.445, 5.515]","[0.0122, 0.0125]","[23.35, 23.65]","[23092.5, 23882.5]","[4.29, 4.935]",3.0,2.356724685712935,25,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.32, 5.445]","[0.0125, 0.0126]","[23.35, 23.65]","[23092.5, 23882.5]","[5.065, 6.93]",0.0,0.09506353454275365,1,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.445, 5.515]","[0.0126, 0.0128]","[24.55, 24.75]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,2.0973969990572123,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.32, 6.995]","[5.625, 5.705]","[0.0122, 0.0125]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,0.577517901612985,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[7.76, 8.365]","[5.625, 5.705]","[0.0125, 0.0126]","[23.65, 24.55]","[23092.5, 23882.5]","[5.065, 6.93]",4.0,3.0811807481445337,32,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.515, 5.545]","[0.0122, 0.0125]","[23.65, 24.55]","[23882.5, 23985.0]","[5.065, 6.93]",2.0,2.9853801059638227,31,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.705, 5.765]","[0.0126, 0.0128]","[23.65, 24.55]","[23092.5, 23882.5]","[5.065, 6.93]",2.0,3.1228762029073533,32,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.515, 5.545]","[0.0125, 0.0126]","[23.65, 24.55]","[23882.5, 23985.0]","[5.065, 6.93]",0.0,2.84288182816702,29,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.765, 5.95]","[0.0125, 0.0126]","[23.35, 23.65]","[23092.5, 23882.5]","[5.065, 6.93]",3.0,3.5334194196316298,36,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.32, 6.995]","[5.705, 5.765]","[0.0122, 0.0125]","[23.65, 24.55]","[23882.5, 23985.0]","[5.065, 6.93]",1.0,0.6871561139991896,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.32, 6.995]","[5.585, 5.625]","[0.0122, 0.0125]","[23.65, 24.55]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.0896409590642282,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.32, 6.995]","[5.765, 5.95]","[0.0122, 0.0125]","[23.35, 23.65]","[23882.5, 23985.0]","[5.065, 6.93]",1.0,0.9965476668709612,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.545, 5.585]","[0.0122, 0.0125]","[23.35, 23.65]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,1.1117920016542722,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.515, 5.545]","[0.0125, 0.0126]","[23.65, 24.55]","[24186.25, 24408.75]","[5.065, 6.93]",4.0,3.9359932970697162,36,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.995, 7.525]","[5.545, 5.585]","[0.0122, 0.0125]","[24.55, 24.75]","[24186.25, 24408.75]","[5.065, 6.93]",5.0,3.9734223901765544,36,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[6.32, 6.995]","[5.515, 5.545]","[0.0122, 0.0125]","[23.65, 24.55]","[24186.25, 24408.75]","[5.065, 6.93]",7.0,3.6490133548304584,33,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",866,0.07043879907621248,0.09361117821556832
"[8.365, 9.145]","[5.32, 5.445]","[0.0119, 0.0121]","[23.65, 24.55]","[23092.5, 23882.5]","[4.935, 5.065]",0.0,0.07995394261508773,1,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",154,0.05844155844155844,0.08523589561761769
"[8.365, 9.145]","[5.32, 5.445]","[0.0119, 0.0121]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",2.0,3.774300704562801,46,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",154,0.05844155844155844,0.08523589561761769
"[7.525, 7.76]","[5.765, 5.95]","[0.0125, 0.0126]","[25.15, 29.9]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,2.8852385945248735,35,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",154,0.05844155844155844,0.08523589561761769
"[8.365, 9.145]","[5.32, 5.445]","[0.0119, 0.0121]","[23.65, 24.55]","[23092.5, 23882.5]","[4.29, 4.935]",3.0,2.688016612624418,32,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",154,0.05844155844155844,0.08523589561761769
"[6.995, 7.525]","[5.705, 5.765]","[0.0125, 0.0126]","[22.1, 23.35]","[23882.5, 23985.0]","[4.29, 4.935]",0.0,0.09214343366749642,1,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",154,0.05844155844155844,0.08523589561761769
"[6.995, 7.525]","[5.765, 5.95]","[0.0125, 0.0126]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",4.0,3.606674637118447,39,"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",154,0.05844155844155844,0.08523589561761769
"[8.365, 9.145]","[5.515, 5.545]","[0.0119, 0.0121]","[25.15, 29.9]","[22972.5, 23092.5]","[4.29, 4.935]",0.0,1.9701351870789257,24,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[7.76, 8.365]","[5.625, 5.705]","[0.0119, 0.0121]","[25.15, 29.9]","[23092.5, 23882.5]","[4.29, 4.935]",0.0,1.5721937145768297,19,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[8.365, 9.145]","[5.445, 5.515]","[0.0119, 0.0121]","[24.75, 25.15]","[22972.5, 23092.5]","[4.29, 4.935]",5.0,3.419050509069108,41,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[7.76, 8.365]","[5.585, 5.625]","[0.0119, 0.0121]","[24.75, 25.15]","[22972.5, 23092.5]","[4.29, 4.935]",1.0,1.7634280911592144,21,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[7.76, 8.365]","[5.705, 5.765]","[0.0119, 0.0121]","[24.55, 24.75]","[23092.5, 23882.5]","[4.29, 4.935]",2.0,1.8786942500999768,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[8.365, 9.145]","[5.625, 5.705]","[0.0119, 0.0121]","[22.1, 23.35]","[23092.5, 23882.5]","[4.29, 4.935]",1.0,2.32030390564534,27,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[7.76, 8.365]","[5.625, 5.705]","[0.0119, 0.0121]","[23.65, 24.55]","[23092.5, 23882.5]","[4.29, 4.935]",3.0,2.1882087837821365,25,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[7.76, 8.365]","[5.545, 5.585]","[0.0119, 0.0121]","[24.75, 25.15]","[23092.5, 23882.5]","[4.29, 4.935]",3.0,1.509485025509393,17,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[8.365, 9.145]","[5.625, 5.705]","[0.0121, 0.0122]","[22.1, 23.35]","[23092.5, 23882.5]","[4.29, 4.935]",3.0,2.9866520710228914,33,"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",229,0.07860262008733625,0.08562511588621753
"[8.365, 9.145]","[5.625, 5.705]","[0.0121, 0.0122]","[22.1, 23.35]","[23092.5, 23882.5]","[4.935, 5.065]",1.0,1.6427026019844015,19,"{'柠檬酸添加比例': 0.91, '置换量': 0.0547, '离子液添加量': 0.0, '原液添加比例': 0.62}",34,0.08823529411764706,0.08746598632218534
"[8.365, 9.145]","[5.705, 5.765]","[0.0121, 0.0122]","[23.65, 24.55]","[23092.5, 23882.5]","[4.935, 5.065]",2.0,1.3311409329699004,15,"{'柠檬酸添加比例': 0.91, '置换量': 0.0547, '离子液添加量': 0.0, '原液添加比例': 0.62}",34,0.08823529411764706,0.08746598632218534
"[7.525, 7.76]","[5.545, 5.585]","[0.0122, 0.0125]","[25.15, 29.9]","[23092.5, 23882.5]","[5.065, 6.93]",3.0,1.838577759583108,21,"{'柠檬酸添加比例': 1.82, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",45,0.13333333333333333,0.08858488242339434
"[7.76, 8.365]","[5.515, 5.545]","[0.0122, 0.0125]","[25.15, 29.9]","[23092.5, 23882.5]","[5.065, 6.93]",3.0,2.1477419494696375,24,"{'柠檬酸添加比例': 1.82, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",45,0.13333333333333333,0.08858488242339434
"[8.365, 9.145]","[5.32, 5.445]","[0.0122, 0.0125]","[24.55, 24.75]","[22972.5, 23092.5]","[5.065, 6.93]",3.0,2.1958749535065367,25,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",276,0.07608695652173914,0.09156885406081235
"[7.76, 8.365]","[5.515, 5.545]","[0.0122, 0.0125]","[22.1, 23.35]","[22972.5, 23092.5]","[5.065, 6.93]",1.0,1.4981968217957065,17,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",276,0.07608695652173914,0.09156885406081235
"[7.76, 8.365]","[5.445, 5.515]","[0.0122, 0.0125]","[24.75, 25.15]","[22972.5, 23092.5]","[5.065, 6.93]",1.0,2.1199654738514644,24,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",276,0.07608695652173914,0.09156885406081235
"[8.365, 9.145]","[5.765, 5.95]","[0.0122, 0.0125]","[23.65, 24.55]","[23092.5, 23882.5]","[4.935, 5.065]",2.0,1.4235909496548722,16,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",276,0.07608695652173914,0.09156885406081235
"[8.365, 9.145]","[5.705, 5.765]","[0.0122, 0.0125]","[23.65, 24.55]","[23092.5, 23882.5]","[4.935, 5.065]",1.0,1.2615230486501547,14,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",276,0.07608695652173914,0.09156885406081235
