成品电导率区间,成品PH值区间,成品浓度区间,成品浊度区间,成品温度区间,成品表面张力区间,成品COD区间,单刀供液量区间,异常率统计,异常率估计,刀数,配比,配比刀数,配比异常率统计,配比异常率估计
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",0.0,0.3753936982771785,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[28.155, 28.4]","[22972.5, 23103.75]","[4.935, 5.065]",8.0,3.1916434863514715,17,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",10.0,7.135468394995326,38,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,1.877792848274099,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[27.85, 27.95]","[22972.5, 23103.75]","[4.935, 5.065]",1.0,3.0045160202264873,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.925, 5.985]","[0.0125, 0.0127]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.935, 5.065]",1.0,0.939396737346637,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.755, 8.985]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[28.155, 28.4]","[22972.5, 23103.75]","[4.935, 5.065]",2.0,1.6921112453854419,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.755, 8.985]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",5.0,6.769587966693976,36,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.755, 8.985]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[4.935, 5.065]",8.0,8.089441472614872,43,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.755, 8.985]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[27.85, 27.95]","[22972.5, 23103.75]","[4.935, 5.065]",4.0,4.51510829547624,24,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.565, 8.755]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",5.0,6.983952751181912,37,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[7.245, 8.565]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[4.935, 5.065]",4.0,3.2183967467718597,17,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[7.245, 8.565]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[27.85, 27.95]","[22972.5, 23103.75]","[4.935, 5.065]",0.0,1.325269560144554,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.013, 0.0132]","[32.05, 35.6]","[25.15, 26.25]","[27.7, 27.85]","[23103.75, 24235.0]","[5.065, 6.93]",0.0,0.9520679221967923,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[28.155, 28.4]","[23103.75, 24235.0]","[4.935, 5.065]",4.0,2.8604209066317106,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[4.935, 5.065]",1.0,4.195982487319525,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,0.5721908323347829,3,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,2.100401276888422,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.013, 0.0132]","[32.05, 35.6]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.29, 4.935]",0.0,8.228958674151995,43,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,4.4171286399172205,23,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.925, 5.985]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,2.3046344645920116,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.755, 8.985]","[5.985, 6.135]","[0.0125, 0.0127]","[13.11, 32.05]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,2.1209720128882834,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[28.05, 28.155]","[22972.5, 23103.75]","[5.065, 6.93]",2.0,1.3515719495231722,7,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[5.065, 6.93]",1.0,1.73776957040992,9,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[46.345, 97.92]","[25.15, 26.25]","[28.155, 28.4]","[22972.5, 23103.75]","[5.065, 6.93]",1.0,3.0900574788386024,16,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.65, 14.65]","[5.985, 6.135]","[0.013, 0.0132]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[22972.5, 23103.75]","[5.065, 6.93]",1.0,1.1627439603737444,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[27.85, 27.95]","[23103.75, 24235.0]","[4.935, 5.065]",2.0,1.5539374160136918,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.013, 0.0132]","[13.11, 32.05]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[5.065, 6.93]",6.0,4.280209903373222,22,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.013, 0.0132]","[13.11, 32.05]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",1.0,1.1673527781387558,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[32.05, 35.6]","[25.15, 26.25]","[27.85, 27.95]","[23103.75, 24235.0]","[5.065, 6.93]",4.0,4.6813977534484685,24,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.4, 5.925]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[28.155, 28.4]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,0.7873681750477902,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.4, 5.925]","[0.0125, 0.0127]","[35.6, 46.345]","[25.15, 26.25]","[27.85, 27.95]","[23103.75, 24235.0]","[4.935, 5.065]",0.0,1.1812833632090398,6,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[13.11, 32.05]","[25.15, 26.25]","[28.155, 28.4]","[23103.75, 24235.0]","[5.065, 6.93]",0.0,0.7962465750084731,4,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[13.11, 32.05]","[25.15, 26.25]","[27.7, 27.85]","[23103.75, 24235.0]","[5.065, 6.93]",0.0,1.5925803032751253,8,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[13.11, 32.05]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[5.065, 6.93]",2.0,2.3891207200761553,12,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[13.11, 32.05]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",1.0,2.190069134970917,11,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[13.11, 32.05]","[25.15, 26.25]","[28.155, 28.4]","[23103.75, 24235.0]","[5.065, 6.93]",2.0,2.5888236230005943,13,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[13.11, 32.05]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[5.065, 6.93]",2.0,2.9875804241987214,15,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[13.11, 32.05]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",1.0,1.9917582902850028,10,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[13.11, 32.05]","[25.15, 26.25]","[28.155, 28.4]","[23103.75, 24235.0]","[4.29, 4.935]",6.0,4.001463400622872,20,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",1.0,3.8179865990049233,19,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[35.6, 46.345]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[4.29, 4.935]",1.0,0.40375910888862493,2,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.65, 14.65]","[5.985, 6.135]","[0.013, 0.0132]","[46.345, 97.92]","[25.15, 26.25]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",0.0,1.010060448094067,5,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[9.65, 14.65]","[5.985, 6.135]","[0.0127, 0.0129]","[13.11, 32.05]","[25.15, 26.25]","[28.05, 28.155]","[23103.75, 24235.0]","[5.065, 6.93]",4.0,4.088311565013738,20,"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1036,0.14092664092664092,0.1894516096134819
"[8.985, 9.155]","[5.925, 5.985]","[0.0127, 0.0129]","[13.11, 32.05]","[26.25, 27.9]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",3.0,3.1717817850885437,17,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[9.155, 9.65]","[5.985, 6.135]","[0.0129, 0.013]","[13.11, 32.05]","[26.25, 27.9]","[27.7, 27.85]","[23103.75, 24235.0]","[4.935, 5.065]",1.0,1.8788602237779475,10,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[9.155, 9.65]","[5.985, 6.135]","[0.0125, 0.0127]","[32.05, 35.6]","[26.25, 27.9]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",4.0,2.4431032741754737,13,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[8.985, 9.155]","[5.925, 5.985]","[0.0127, 0.0129]","[35.6, 46.345]","[26.25, 27.9]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",2.0,1.3184236323991423,7,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[8.985, 9.155]","[5.4, 5.925]","[0.0127, 0.0129]","[32.05, 35.6]","[26.25, 27.9]","[27.85, 27.95]","[23103.75, 24235.0]","[5.065, 6.93]",1.0,0.3772102529490832,2,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[9.155, 9.65]","[5.985, 6.135]","[0.0127, 0.0129]","[32.05, 35.6]","[26.25, 27.9]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",3.0,1.7032825412534496,9,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[9.155, 9.65]","[5.4, 5.925]","[0.0125, 0.0127]","[32.05, 35.6]","[26.25, 27.9]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",0.0,0.38113880924709914,2,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
"[8.985, 9.155]","[5.985, 6.135]","[0.0129, 0.013]","[35.6, 46.345]","[26.25, 27.9]","[27.95, 28.05]","[23103.75, 24235.0]","[5.065, 6.93]",3.0,0.9588826568984037,5,"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",347,0.19596541786743515,0.1949165412961689
