检验日期	钢线线径	槽轮槽距	班次	单晶编号	验证类型	异常类型	线径	切割时间	切割刀号	切割机台	配方编码	前后排别	排别	成品电导率	成品PH值	成品浓度	成品浊度	成品温度	成品表面张力	成品COD	柠檬酸	置换量	离子液添加量	原液添加比例	清液池电导率	清液池PH	清液池浓度	清液池温度	清液池COD	喷淋流量	在线流量
2024/8/4	32	181.5	夜班	CIPC2952407A4502D22Y02	0.4-1.6	#N/A	0.032	45508.69976	N1B2042408040321	XQ-B2-04	G12-XXSD-110A	B2前排	B排	10.38	6.03	0.0128	45.9	24.9	28.2	23352.5	0	0.05	0.07	0.91	10.3	5.74	0.0123	25	23215	39.263	107.456
2024/8/1	32	181.5	白班	CIPC2952407A4602D01Y04	0.4-1.6	#N/A	0.032	45505.19997	N1B1052407310022	XQ-B1-05	G12-XXSD-110A	B1前排	B排	14.52	5.39	0.0128	55.2	25.2	28.1	23837.5	柠檬酸100g	0.06	0	0.91	13.75	5.42	0.0124	23.9	23562.5	37.51471074	101.7267769
2024/8/4	32	181.5	白班	CIPC2952407A4602D11Y02	0.4-1.6	跳线	0.032	45508.09218	N1B4122408030282	XQ-B4-12	G12-YS33-130-110	B4后排	B排	10.65	6	0.0126	57.9	24.2	28.2	23262.5	0	0.05	0.07	0.91	10.89	5.57	0.0122	23.4	23105	39.16057471	106.273908
2024/8/4	32	181.5	白班	CIPC2952407A4602D11Y04	0.4-1.6	断上线	0.032	45508.24157	N1B1022408030302	XQ-B1-02	G12-XXSD-110A	B1前排	B排	10.62	5.99	0.0126	49.9	25.1	28.2	23262.5	0	0.05	0.07	0.91	10.41	5.67	0.0123	24.5	23105	39.22988372	106.4166279
2024/8/4	32	181.5	白班	CIPC2952407A4602D11Y05W	0.4-1.6	断上下线	0.032	45508.41005	N1B1032408040291	XQ-B1-03	G12-XXSD-110A	B1前排	B排	10.35	5.99	0.0127	45.9	25	28.2	23262.5	0	0.05	0.07	0.91	10.41	5.62	0.0122	24.8	23105	39.32714286	106.7204762
2024/8/6	32	181.5	白班	CIPC2952407A4602D21Y04	0.4-1.6	#N/A	0.032	45510.45132	N1B1062408060481	XQ-B1-06	G12-XXSD-110A	B1前排	B排	9.08	6.1	0.0128	54.6	25.6	27.9	23850	0	0.05	0.07	0.92	9.26	5.64	0.0123	23.8	23590	39.54813559	113.1467797
2024/8/7	32	181.5	白班	CIPC2952407A4602D21Y05	0.4-1.6	#N/A	0.032	45511.0438	N1B3102408060472	XQ-B3-10	G12-XXSD-100-TSI	B3后排	B排	9.17	5.98	0.0128	59.8	25.3	28.1	24000	0	0.05	0.07	0.91	9.48	5.48	0.0123	24.4	23930	39.27807692	115.6163462
2024/8/3	32	181.5	白班	CIPC2952407A5001D52Y03	0.4-1.6	#N/A	0.032	45507.44168	N1B3122408030241	XQ-B3-12	G12-YS33-130-110	B3后排	B排	11.26	5.92	0.0126	56	24.9	28.1	23687.5	转换阶段	0.05	0.07	0.92	11.57	5.55	0.0122	23.8	23375	38.84978947	105.2403158
2024/8/6	32	181.5	白班	CIPC2952407A5001D62N02	0.4-1.6	#N/A	0.032	45510.12434	N1B3142408050422	XQ-B3-14	G12-YS33-130-110	B3后排	B排	9.33	6.16	0.0128	48.5	25.1	28.2	23850	0	0.05	0.07	0.91	9.06	5.69	0.0123	23.7	23590	39.59888889	111.4893651
2024/8/2	32	181.5	白班	CIPC2952407A5102D12N03	0.4-1.6	#N/A	0.032	45506.52919	N1B2022408020121	XQ-B2-02	q1	B2前排	B排	13.48	5.59	0.0128	70.8	25.4	28.1	23650	柠檬酸80g	0.06	0	0.91	12.79	5.36	0.0123	23.5	23377.5	38.41679245	103.8906604
2024/8/2	32	181.5	夜班	CIPC2952407A5102D12N04W	0.4-1.6	#N/A	0.032	45506.60895	N1B2032408020161	XQ-B2-03	G12A	B2前排	B排	12.89	5.6	0.0128	42.7	25.8	28.1	23595	柠檬酸80g	0.06	0	0.91	12.83	5.41	0.0123	24.3	23252.5	38.42790476	104.0613333
2024/8/2	32	181.5	白班	CIPC2952407A5201D72V04W	0.4-1.6	#N/A	0.032	45506.18998	N1B1012408010102	XQ-B1-01	G12-XXSD-110A	B1前排	B排	14.13	5.45	0.0129	41.8	23.1	27.9	23650	柠檬酸80g	0.06	0	0.91	13.05	5.37	0.0123	24.1	23377.5	38.21709091	103.2398182
2024/8/1	32	181.5	白班	CIPC2952407A5301D51Y03	0.4-1.6	#N/A	0.032	45505.08685	N1B2012407310012	XQ-B2-01	G12-XXSD-110A	B2前排	B排	14.73	5.44	0.0128	58.1	25.6	28.1	23837.5	柠檬酸100g	0.06	0	0.91	13.75	5.42	0.0124	23.9	23562.5	37.51471074	101.7267769
2024/8/4	32	181.5	白班	CIPC2952407A5301D61Y02	0.4-1.6	提料挂断线	0.032	45508.19156	N1B4142408030282	XQ-B4-14	G12-YS33-130-110	B4后排	B排	10.49	6.01	0.0126	51.3	25.1	28.3	23262.5	0	0.05	0.07	0.91	10.41	5.67	0.0123	24.5	23105	39.22988372	106.4166279
2024/8/4	32	181.5	夜班	CIPC2952407A5402D22Y02	0.4-1.6	#N/A	0.032	45509.13351	N1B2012408040392	XQ-B2-01	1	B2前排	B排	9.6	6.09	0.0128	55.4	25.5	28.2	23107.5	0	0.05	0.07	0.91	9.79	5.74	0.0123	24.1	22995	39.34	108.4852
2024/8/3	32	181.5	夜班	CIPC2952407A5602D02Y03	0.4-1.6	#N/A	0.032	45507.68817	N1B4142408030241	XQ-B4-14	G12-YS33-130-110	B4后排	B排	10.61	6.06	0.0126	58.3	25.5	28.2	23385	0	0.05	0.07	0.91	11.26	5.62	0.0121	24.8	23195	38.93032609	105.6071739
2024/8/3	32	181.5	夜班	CIPC2952407A5902D02Y02	0.4-1.6	跳线	0.032	45507.83876	N1B1032408030251	XQ-B1-03	G12-XXSD-110A	B1前排	B排	10.92	6.14	0.0126	76.4	25.3	28.1	23385	0	0.05	0.07	0.91	11.34	5.71	0.0121	24.6	23195	39.053	105.8648889
2024/8/6	32	181.5	夜班	CIPC2952407A5902D12N02	0.4-1.6	跳线	0.032	45510.63079	N1B4142408060501	XQ-B4-14	G12-XXSD-110A	B4后排	B排	9.07	5.98	0.0129	55	25.6	28.2	24000	0	0.05	0.07	0.92	9.29	5.57	0.0124	23.1	23930	39.41140351	113.7475439
2024/8/6	32	181.5	白班	CIPC2952407A5902D12N04	0.4-1.6	#N/A	0.032	45510.3144	N1B2042408050482	XQ-B2-04	G12-XXSD-110A	B2前排	B排	9.1	6.08	0.0128	50.2	25.7	28.1	23850	0	0.05	0.07	0.91	9.05	5.65	0.0123	23.8	23590	39.55098361	112.3252459
2024/8/2	32	181.5	白班	CIPC2952407A6402D12Y03	0.4-1.6	#N/A	0.032	45506.57522	N1B3122408020161	XQ-B3-12	G12-YS33-130-110	B3后排	B排	12.89	5.6	0.0128	42.7	25.8	28.1	23650	柠檬酸80g	0.06	0	0.91	12.79	5.36	0.0123	23.5	23377.5	38.41679245	103.8906604
2024/8/6	32	181.5	白班	CIPC2952407A6402D23Y02	0.4-1.6	#N/A	0.032	45510.34186	N1B1062408050472	XQ-B1-06	G12-XXSD-110A	B1前排	B排	9.16	6.13	0.0127	51	25.8	28	23850	0	0.05	0.07	0.91	9.22	5.73	0.0123	23.5	23590	39.5555	112.7638333
2024/8/6	32	181.5	白班	CIPC2952407A6402D23Y04W	0.4-1.6	#N/A	0.032	45510.46032	N1B3092408060411	XQ-B3-09	G12-XXSD-110A	B3后排	B排	9.08	6.1	0.0128	54.6	25.6	27.9	23850	0	0.05	0.07	0.92	9.26	5.64	0.0123	23.8	23590	39.54813559	113.1467797
2024/8/7	32	181.5	夜班	CIPC2952407A6502D42N04	0.4-1.6	#N/A	0.032	45512.10135	N1B4102408070562	XQ-B4-10	G12-XXSD-100-TSI	B4后排	B排	8.63	5.93	0.0129	53.6	25	28	24287.5	0	0.06	0.07	0.91	8.92	5.38	0.0127	24.1	24062.5	38.34102564	123.6130769
2024/8/3	32	181.5	白班	CIPC2952407A6602D42Y04	0.4-1.6	#N/A	0.032	45507.31601	N1B2032408020222	XQ-B2-03	G12-XXSD-110A	B2前排	B排	11.53	5.99	0.0124	54.8	25.1	28.1	23687.5	转换阶段	0.05	0.07	0.91	12.18	5.46	0.0123	24.3	23375	38.77360825	105.0085567
2024/8/6	32	181.5	白班	CIPC2952407A6902D32N03	0.4-1.6	#N/A	0.032	45510.27222	N1B4102408050392	XQ-B4-10	G12-XXSD-100-TSI	B4后排	B排	9.07	6.13	0.0127	43.9	25.3	28.1	23850	0	0.05	0.07	0.92	9.05	5.65	0.0123	23.8	23590	39.55098361	112.3252459
2024/8/1	32	181.5	夜班	CIPC2952407A7101D42N02	0.4-1.6	#N/A	0.032	45505.64714	N1B1052408010061	XQ-B1-05	G12-XXSD-110A	B1前排	B排	13.28	5.51	0.0127	55	25.6	27.9	23700	柠檬酸80g	0.06	0	0.91	13.24	5.38	0.0124	24.8	23475	37.80153846	102.2742735
2024/8/4	32	181.5	夜班	CIPC2952407A7202D32N03	0.4-1.6	#N/A	0.032	45508.86493	N1B1072408040321	XQ-B1-07	G12-XXSD-110A	B1前排	B排	10.02	6.09	0.0127	57.3	24.9	28.2	23352.5	0	0.05	0.07	0.91	10.21	5.7	0.0123	25.1	23215	39.24551282	107.8523077
2024/8/3	32	181.5	夜班	CIPC2952407A7401D52Y02	0.4-1.6	#N/A	0.032	45507.87198	N1B1042408030251	XQ-B1-04	G12-XXSD-110A	B1前排	B排	10.71	6.14	0.0127	68.2	25.5	28.1	23385	0	0.05	0.07	0.91	11.34	5.71	0.0121	24.6	23195	39.053	105.8648889
2024/8/3	32	181.5	夜班	CIPC2952407A7401D52Y03	0.4-1.6	#N/A	0.032	45507.87075	N1B3132408030191	XQ-B3-13	G12-XXSD-110A	B3后排	B排	10.71	6.14	0.0127	68.2	25.5	28.1	23385	0	0.05	0.07	0.91	11.34	5.71	0.0121	24.6	23195	39.053	105.8648889
2024/8/5	32	181.5	白班	CIPC2952407A7702D41N02	0.4-1.6	#N/A	0.032	45509.50645	N1B4102408050311	XQ-B4-10	G12-XXSD-100-TSI	B4后排	B排	9.64	6.08	0.0128	53.2	25.5	28.2	23107.5	0	0.05	0.07	0.91	9.33	5.73	0.0124	24.9	22995	39.54928571	109.4781429
2024/8/1	32	181.5	白班	CIPC2952407A7801D62Y05	0.4-1.6	#N/A	0.032	45505.14884	N1B3112407310022	XQ-B3-11	G12-YS33-130-110	B3后排	B排	14.15	5.43	0.0128	46.4	25.1	28.1	23837.5	柠檬酸100g	0.06	0	0.91	13.75	5.42	0.0124	23.9	23562.5	37.51471074	101.7267769
2024/8/3	32	181.5	夜班	CIPC2952407A7901D72N02	0.4-1.6	#N/A	0.032	45507.62329	N1B1062408030241	XQ-B1-06	G12-XXSD-110A	B1前排	B排	10.96	6.08	0.0126	59.4	25.8	28.1	23385	0	0.05	0.07	0.91	11.26	5.62	0.0121	24.8	23195	38.92236559	105.4821505
2024/8/3	32	181.5	夜班	CIPC2952407A7901D72N04W	0.4-1.6	#N/A	0.032	45507.93627	N1B2072408030272	XQ-B2-07	G12-XXSD-110A	B2前排	B排	10.65	6.13	0.0127	71	25.8	28.2	23385	0	0.05	0.07	0.92	11.24	5.63	0.0122	22.8	23195	39.09146067	105.9982022
2024/8/5	32	181.5	夜班	CIPC2952407A8102D31N04	0.4-1.6	断上下线	0.032	45509.81056	N1B1042408050391	XQ-B1-04	G12-XXSD-110A	B1前排	B排	9.09	6.19	0.0129	47.6	25.2	28.2	23630	0	0.05	0.07	0.91	9.24	5.68	0.0124	25.8	23565	39.58567164	109.988806
2024/8/2	31	181.5	夜班	CIPC2952407A8402D42Y04	0.4-1.6	#N/A	0.031	45506.95112	N1B2072408020182	XQ-B2-07	G12-XXSD-110A	B2前排	B排	11.77	6.08	0.0123	49.4	24.6	28.2	23595	转换阶段	0.06	0.07	0.91	12.49	5.5	0.0123	22.9	23252.5	38.63019802	104.5722772
2024/8/3	32	181.5	白班	CIPC2952407A8402D42Y05W	0.4-1.6	#N/A	0.032	45507.11515	N1B1082408020132	XQ-B1-08	G12-XXSD-110A	B1前排	B排	11.66	5.87	0.0123	60.9	25.9	28	23687.5	转换阶段	0.05	0.07	0.91	12.15	5.54	0.0123	23.9	23375	38.72070707	104.7858586
2024/8/7	32	181.5	夜班	CIPC2952407A8502D23N04	0.4-1.6	粘胶面卷线	0.032	45511.78068	N1B3152408070501	XQ-B3-15	G12-YS33-130-110	B3后排	B排	8.6	6	0.013	66.4	25.1	28	24075	0	0.05	0.07	0.91	9.3	5.47	0.0126	23.8	23675	38.61813953	120.4872093
2024/8/8	32	181.5	白班	CIPC2952407A8802D72N03	0.4-1.6	提料挂断线	0.032	45511.24154	N1B2062408060512	XQ-B2-06	G12-XXSD-110A	B2前排	B排	9.66	5.95	0.0128	54.5	24.7	28.1	24130	0	0.05	0.07	0.91	8.98	5.48	0.0123	23.3	23982.5	39.0288	116.4796
2024/8/3	32	181.5	白班	CIPC2952407A8902D02Y03	0.4-1.6	断上线	0.032	45507.52428	N1B2042408030211	XQ-B2-04	G12-A	B2前排	B排	11.16	6.11	0.0126	71.1	25.6	28	23687.5	0	0.05	0.07	0.92	11.57	5.55	0.0122	23.8	23375	38.87425532	105.36
2024/8/3	32	181.5	白班	CIPC2952407A8902D02Y04	0.4-1.6	断上线	0.032	45507.50684	N1B2012408030241	XQ-B2-01	1	B2前排	B排	11.28	6.14	0.0126	61.7	25.4	28	23687.5	转换阶段	0.05	0.07	0.91	11.57	5.55	0.0122	23.8	23375	38.87425532	105.36
2024/8/4	32	181.5	夜班	CIPC2952407A9002D02Y02	0.4-1.6	断上下线	0.032	45508.63309	N1B1042408040301	XQ-B1-04	G12-XXSD-110A	B1前排	B排	10.32	6.01	0.0127	45.6	25.8	28.1	23352.5	0	0.05	0.07	0.92	10.31	5.69	0.0122	25.4	23215	39.29345679	107.265679
2024/8/7	32	181.5	白班	CIPC2952407A9102D12Y02	0.4-1.6	断缝	0.032	45511.02788	N1B3092408060462	XQ-B3-09	G12-YS33-130-110	B3后排	B排	8.71	5.92	0.0128	65.1	25.1	28.1	24000	0	0.05	0.07	0.91	9.48	5.48	0.0123	24.4	23930	39.27807692	115.6163462
